Customer ID,Age,Preferred Platform,Order Frequency,Order Type,Delivery Time Preference,Delivery Speed Preference,Satisfaction Rating,Payment Method,Discount Usage,Restaurant Rating,Order Size
CUST0001,58,Uber Eats,Weekly,Healthy Food,Evening,Fast,1.181968758517273,UPI,No,2.4986055548906334,Large
CUST0002,25,Swiggy,Weekly,Desserts,Afternoon,Fast,2.398600177777275,Credit Card,No,3.8161887864569444,Medium
CUST0003,19,Uber Eats,Weekly,Fast Food,Morning,Slow,4.224174071475969,UPI,No,1.7920821156046167,Small
CUST0004,65,Uber Eats,Weekly,Beverages,Morning,Slow,1.8493517342596428,Debit Card,No,1.7279373259131234,Large
CUST0005,35,Uber Eats,Occasionally,Fast Food,Afternoon,Slow,3.5624732435103397,Credit Card,Yes,4.793933245844789,Large
CUST0006,33,Zomato,Daily,Desserts,Afternoon,Medium,3.7600682461746544,Debit Card,Yes,2.802643137189511,Small
CUST0007,32,Uber Eats,Occasionally,Beverages,Evening,Medium,2.017670088714227,UPI,Yes,4.257481819765966,Medium
CUST0008,26,Swiggy,Monthly,Fast Food,Evening,Fast,1.2713442536524697,UPI,No,1.7425521672052398,Medium
CUST0009,65,Swiggy,Weekly,Fast Food,Afternoon,Medium,2.2011359783020503,Cash on Delivery,No,1.2359282597874324,Large
CUST0010,24,Swiggy,Occasionally,Healthy Food,Morning,Fast,3.1999743975378223,Cash on Delivery,Yes,1.7309175970905608,Large
CUST0011,61,Swiggy,Monthly,Desserts,Night,Medium,4.068130403939821,UPI,Yes,4.036658739801789,Small
CUST0012,65,Uber Eats,Occasionally,Desserts,Evening,Slow,1.4553470517944032,Debit Card,Yes,2.0374076659365628,Large
CUST0013,52,Swiggy,Weekly,Desserts,Afternoon,Fast,2.3331315619159216,Credit Card,No,4.609093155611024,Small
CUST0014,23,Swiggy,Weekly,Beverages,Morning,Slow,2.5841973043798396,Debit Card,No,2.635169608614756,Small
CUST0015,55,Uber Eats,Monthly,Healthy Food,Morning,Slow,3.2756861631868284,Debit Card,Yes,3.5073495183280525,Large
CUST0016,45,Uber Eats,Occasionally,Beverages,Evening,Slow,4.840451301011961,Debit Card,Yes,3.497685823118551,Medium
CUST0017,20,Zomato,Weekly,Desserts,Evening,Slow,4.328171079624566,Debit Card,No,4.473447967661429,Medium
CUST0018,19,Uber Eats,Monthly,Beverages,Night,Medium,1.776062319592083,Credit Card,Yes,1.6645045304241717,Large
CUST0019,23,Uber Eats,Occasionally,Fast Food,Evening,Medium,4.335301200686003,Cash on Delivery,No,2.1725023414405302,Small
CUST0020,31,Zomato,Occasionally,Beverages,Night,Slow,4.68911906100729,Cash on Delivery,Yes,2.5109141506159776,Medium
CUST0021,32,Zomato,Monthly,Beverages,Afternoon,Slow,2.916433093433471,Credit Card,Yes,2.1070488114435206,Small
CUST0022,50,Uber Eats,Occasionally,Desserts,Evening,Slow,2.898001813806724,Credit Card,No,2.368607670952876,Small
CUST0023,56,Zomato,Occasionally,Fast Food,Night,Medium,1.1422330035463637,Debit Card,No,3.342585600458983,Large
CUST0024,19,Swiggy,Weekly,Desserts,Evening,Medium,1.5430155837981556,Credit Card,Yes,2.9115884746669036,Medium
CUST0025,53,Uber Eats,Weekly,Fast Food,Afternoon,Fast,1.621545154666915,Cash on Delivery,Yes,3.6912183690230127,Small
CUST0026,30,Zomato,Weekly,Fast Food,Afternoon,Fast,2.8424717453735564,UPI,Yes,1.4032365682574084,Large
CUST0027,63,Zomato,Monthly,Fast Food,Night,Fast,4.460897402076945,UPI,No,1.2442258675718527,Small
CUST0028,59,Zomato,Daily,Desserts,Morning,Fast,4.583714405748536,UPI,No,4.007194785929135,Large
CUST0029,62,Zomato,Occasionally,Fast Food,Afternoon,Medium,2.849880301475198,Debit Card,No,1.028906633416482,Small
CUST0030,52,Uber Eats,Monthly,Healthy Food,Afternoon,Fast,4.256666493831666,Cash on Delivery,No,3.329781794226383,Small
CUST0031,44,Zomato,Daily,Healthy Food,Afternoon,Slow,4.711159907060404,UPI,No,4.95047533636866,Large
CUST0032,32,Zomato,Daily,Healthy Food,Afternoon,Medium,1.2240891407461683,Debit Card,No,1.3873674038370951,Large
CUST0033,46,Zomato,Monthly,Healthy Food,Morning,Slow,3.084292897562496,UPI,Yes,3.0893381771977704,Small
CUST0034,55,Swiggy,Daily,Desserts,Afternoon,Medium,3.259770563988809,Credit Card,Yes,1.0290478281875193,Large
CUST0035,35,Swiggy,Weekly,Beverages,Morning,Medium,3.7127904985994946,Credit Card,Yes,3.411939487459484,Small
CUST0036,18,Uber Eats,Monthly,Beverages,Evening,Slow,3.2207088332142075,Debit Card,No,4.9475873697417345,Large
CUST0037,28,Uber Eats,Occasionally,Healthy Food,Morning,Slow,1.0748737218458193,Debit Card,Yes,4.045455880935067,Large
CUST0038,62,Swiggy,Weekly,Beverages,Night,Medium,3.3095905687061933,Debit Card,No,4.728513523516838,Large
CUST0039,45,Swiggy,Occasionally,Healthy Food,Evening,Fast,2.326877170787314,Debit Card,No,2.8929271327528845,Large
CUST0040,39,Zomato,Daily,Healthy Food,Morning,Medium,4.664745804310723,UPI,Yes,2.3481198729387387,Large
CUST0041,35,Zomato,Weekly,Beverages,Morning,Fast,4.183131198692189,Debit Card,Yes,2.717814485327905,Large
CUST0042,27,Swiggy,Occasionally,Beverages,Morning,Fast,1.2648521652702476,Debit Card,No,2.483140488918423,Medium
CUST0043,31,Uber Eats,Monthly,Fast Food,Morning,Fast,1.5972196245330577,Debit Card,Yes,4.560608784648103,Medium
CUST0044,39,Swiggy,Daily,Healthy Food,Morning,Slow,4.362956614231264,Credit Card,Yes,4.997780541039223,Small
CUST0045,24,Uber Eats,Occasionally,Beverages,Morning,Fast,2.3566096718197693,Cash on Delivery,No,4.267388768184096,Medium
